id,instrument,layer,anom_input,clean_input,anom_topk,clean_topk,differ
fp_02,jlens,56,4,2,atomic|mass|atomic|Atomic|amu,atomic|mass|原子|amu|mass,1
fp_02,jlens,62,4,2,g|<|im_end|>|.|am|u,.|g|u|g|and,1
fp_02,rlens,0,4,2,teen|raries|ConnectionString|써|amate,seperate|owski|een|ة|ت,1
fp_02,rlens,8,4,2,…|teen|teenth|...|[…],[…]|….|[…]|….|…,1
fp_02,rlens,16,4,2,teen|l|teenth|�|ly,"£|perhaps|‘|.|,",1
fp_02,rlens,24,4,2,carbon|Carbon|Carbon|arbon|carbon,carbon|碳|carbon|Carbon|Carbon,1
fp_02,rlens,32,4,2,?|？|wrong|wrongly|Incorrect,carbon|carbon|碳|炭|Carbon,1
fp_02,rlens,40,4,2,carbon|Carbon|carbon|Carbon|atomic,carbon|carbon|碳|Carbon|Carbon,1
fp_02,rlens,48,4,2,0|atomic|2|4|1,decimal|rounded|carbon|carbon|0,1
fp_02,rlens,56,4,2,atomic|mass|atomic|amu|原子,atomic|mass|原子|amu|atoms,1
fp_02,rlens,62,4,2,g|<|im_end|>|.|am|u,.|g|u|g|and,1
fp_02,logit,0,4,2,"|.|-|,|(","|.|,|-|(",1
fp_02,logit,8,4,2,"|,|-|...|.","|,|...|-|.",1
fp_02,logit,16,4,2,"|/|,|(|-","|,|(|/|-",1
fp_02,logit,24,4,2,pm|px|PM|carbon|...,�|W|carbon|arbon|�,1
fp_02,logit,32,4,2,"b|劫|\""|,|功",",||�||(",1
fp_02,logit,40,4,2,"坡|\""|舒|�|wrongly",carbon|r|碳||vene,1
fp_02,logit,48,4,2,0|k|M|行|th,.|�|0|�|ogenic,1
fp_02,logit,56,4,2,atomic|mass|amu|masses|mass,atomic|amu|mass|原子|mass,1
fp_02,logit,62,4,2,g|<|im_end|>|.|am|u,.|g|u|g|and,1
bug_05,jlens,0,<=,>=,s|ات|ы|不可思议|加拿大,s|ات|新加坡|众所周知|加拿大,1
bug_05,jlens,8,<=,>=,s|ся|ات|ы|satz,s|众所周知|新加坡|ات|加拿大,1
bug_05,jlens,16,<=,>=,s|ся|ات|ы|ighton,s|ات|众所周知|enticate|ottom,1
bug_05,jlens,24,<=,>=,psilon|erness|ся|istrator|theless,s|ات|enticate|끔|众所周知,1
bug_05,jlens,32,<=,>=,<=|<|im_end|>|​​|threshold|反义词,>=|temperatures|threshold|️|reshold,1
bug_05,jlens,40,<=,>=,negative|egative|-negative|negativity|negative,>=|positive|threshold|positivity|negative,1
bug_05,jlens,48,<=,>=,<=|negative|threshold|cutoff|thresholds,threshold|>=|thresholds|reshold|阈值,1
bug_05,jlens,56,<=,>=,zero|零|zeros|0|zero,zero|零|0|.ZERO|>=,1
bug_05,jlens,62,<=,>=,|0|<|im_end|>|-|max,|0|<|im_end|>|０|threshold,1
bug_05,rlens,0,<=,>=,Whilst|Whilst|相辅相成|众所周知|ighton,众所周知|Whilst|相辅相成|新加坡|Whilst,1
bug_05,rlens,8,<=,>=,s|ся|ighton|加拿大|gether,s|众所周知|ottom|相辅相成|entimes,1
bug_05,rlens,16,<=,>=,​​|-than|ighton|ٰ|︎,​​|-than|︎|ottom|ค์,1
bug_05,rlens,24,<=,>=,<=|-than|than|小于|(<,>=|-than|s|>|threshold,1
bug_05,rlens,32,<=,>=,<=|negative|反义词|≤|threshold,>=|≥|zero|positive|<=,1
bug_05,rlens,40,<=,>=,negative|<=|negative|_negative|positive,>=|positive|threshold|zero|negative,1
bug_05,rlens,48,<=,>=,<=|<|cutoff|negative|threshold,threshold|>=|thresholds|threshold|reshold,1
bug_05,rlens,56,<=,>=,zero|0|zeros|零|>=,zero|0|零|>=|.ZERO,1
bug_05,rlens,62,<=,>=,|0|<|im_end|>|-|max,|0|<|im_end|>|０|threshold,1
bug_05,logit,0,<=,>=,"|.|-|,|(","|-|.|,|(",1
bug_05,logit,8,<=,>=,|.|/|(|(,"|-|/|.|,",1
bug_05,logit,16,<=,>=,|/|(|-|(,|s|/|-|(,1
bug_05,logit,24,<=,>=,"|or|-|,|(",|s|-|(|or,1
bug_05,logit,32,<=,>=,"|,|""|(|or","|(|,|...|s",1
bug_05,logit,40,<=,>=,|negative|和|zero|ish,|...|0|s|',1
bug_05,logit,48,<=,>=,|和|人|且|不,|0||'|��,1
bug_05,logit,56,<=,>=,0|zero||零|zeros,0||zero|零|.ZERO,1
bug_05,logit,62,<=,>=,|0|<|im_end|>|-|max,|0|<|im_end|>|０|threshold,1
fp_03,jlens,0,7,6,er|y|es|ingly|dienst,gray|ologic|a|gray|raries,1
fp_03,jlens,8,7,6,resco|гам|cliffe|评议|سوب,jenigen|复原|シル|``|加拿大,1
fp_03,jlens,16,7,6,"holt|awning|חי|\""|\""",adero|awning|nolog|anat|_____,1
fp_03,jlens,24,7,6,Britain|Thames|Britain|科技学院|在英国,Britain|Britain|London|anat|Thames,1
fp_03,jlens,32,7,6,____|Historical|historical|modern|?,重建|Britain|disaster|rect|reconstruction,1
fp_03,jlens,40,7,6,近代|centuries|Historical|century|historical,重建|rebuilding|rebuilt|reconstruction|Reconstruction,1
fp_03,jlens,48,7,6,century|incorrectly|错误|wrong|错误的,重建|rebuilding|rebuilt|rebuild|reconstruction,1
fp_03,jlens,56,7,6,fire|火灾|大火|fire|burning,fire|大火|火灾|fire|fires,1
fp_03,jlens,62,7,6,th|世纪|<|im_end|>|世纪的|7,6|six|June|six|sixth,1
fp_03,rlens,0,7,6,Whilst|whilst|programme|er|Whilst,eee|anat|…..|……|!!!!!,1
fp_03,rlens,8,7,6,",|and|…|...|colon",",|and|anat|history|-and",1
fp_03,rlens,16,7,6,...|\uff|...\|\n|____,...\|...|...\|\uff|\n,1
fp_03,rlens,24,7,6,Thames|London|Britain|city|fire,London|Thames|London|Britain|city,1
fp_03,rlens,32,7,6,modern|modern|sic|?|事件,重建|reconstruction|Reconstruction|rebuilding|修复,1
fp_03,rlens,40,7,6,近代|century|centuries|modern|-century,重建|rebuilding|rebuilt|reconstruction|Reconstruction,1
fp_03,rlens,48,7,6,century|incorrectly|-century|错误|wrong,重建|rebuilding|reconstruction|rebuilt|rebuild,1
fp_03,rlens,56,7,6,fire|火灾|火|burning|fire,fire|大火|fire|火灾|fires,1
fp_03,rlens,62,7,6,th|世纪|<|im_end|>|世纪的|7,6|six|June|six|sixth,1
fp_03,logit,0,7,6,"|,|.|...|-","|,|.|-|(",1
fp_03,logit,8,7,6,",|...|.||/",",|.|...|/|",1
fp_03,logit,16,7,6,"...|,||/|.","...|,||/|.",0
fp_03,logit,24,7,6,海|近代|...|craft|iante,海|大火|anı|onge|同心,1
fp_03,logit,32,7,6,ol|?|‑|/|holm,X|以后|C|日后|...,1
fp_03,logit,40,7,6,"/|...|晚|ος|\""",rebuilding|重建|rebuilt|reconstruction|afterwards,1
fp_03,logit,48,7,6,wrong|___|...|wrong|Wrong,afterwards|afterward|重建|rebuilding|reconstruction,1
fp_03,logit,56,7,6,fire|火灾|大火|火|burning,fire|大火|火|fires|火灾,1
fp_03,logit,62,7,6,th|世纪|<|im_end|>|世纪的|7,6|six|June|six|sixth,1
fp_04,jlens,0,0,6,ة|ać|er|ς|lamour,gray|Gray|gray|ologic|Tow,1
fp_04,jlens,8,0,6,Initialise|s|coloured|sulph|图象,trato|ียว|duly|ucci|``,1
fp_04,jlens,16,0,6,图象|ać|s|Colour|harbour,ucci|historic|sucess|historic|Ă,1
fp_04,jlens,24,0,6,Britain|Britain|reputed|pylab|envis,Britain|Britain|London|Thames|historic,1
fp_04,jlens,32,0,6,?|？|?\|early|shortly,bugs|rect|disaster|灾难|famously,1
fp_04,jlens,40,0,6,calendar|date|year|dates|Calendar,火灾|起火|fire|fires|disasters,1
fp_04,jlens,48,0,6,incorrect|incorrectly|wrong|errone|mistakenly,火灾|起火|fire|fires|destroyed,1
fp_04,jlens,56,0,6,was|incorrectly|是错误的|wrong|年代,烧毁|destroyed|destroying|destroy|destroy,1
fp_04,jlens,62,0,6,<|im_end|>|was|actually|started|destroyed,destroyed|<|im_end|>|started|was|burned,1
fp_04,rlens,0,0,6,ة|o|whilst|lymp|s,呦|eee|anat|historic|prere,1
fp_04,rlens,8,0,6,favour|Britain|colour|recognised|favoured,apparently|indeed|duly|``|astonishing,1
fp_04,rlens,16,0,6,"Restoration|restored|restoration|,|Ð","historic|,|historic|historical|Old",1
fp_04,rlens,24,0,6,London|Britain|Restoration|reputed|--,London|Britain|historic|Thames|London,1
fp_04,rlens,32,0,6,?|early|...|重建|shortly,fire|historic|famously|起火|burning,1
fp_04,rlens,40,0,6,calendar|year|dates|date|1,fire|起火|火灾|fires|大火,1
fp_04,rlens,48,0,6,incorrectly|incorrect|wrong|mistakenly|errone,fire|起火|fires|caused|was,1
fp_04,rlens,56,0,6,was|incorrectly|actually|年代|wrong,destroyed|烧毁|destroying|burned|destroy,1
fp_04,rlens,62,0,6,<|im_end|>|was|actually|started|destroyed,destroyed|<|im_end|>|started|was|burned,1
fp_04,logit,0,0,6,"|,|.|-|(","|,|.|(|-",1
fp_04,logit,8,0,6,"衷|qu|qu|,|arrant",",|...|;|P|ex",1
fp_04,logit,16,0,6,-|...|s|V|',"...|_|'|,|…",1
fp_04,logit,24,0,6,onge|ares|dden|evo|enca,aux|VAS|ikli|同心|unes,1
fp_04,logit,32,0,6,功|目|不久|�|不及,起因|___|elsius|裳|___,1
fp_04,logit,40,0,6,"cket|phet|\""|‑|署",起因|″|/proto|大规模|裳,1
fp_04,logit,48,0,6,wrong|sic|Wrong|不对|incorrectly,起因|Ey|那场|major|four,1
fp_04,logit,56,0,6,年代|-ish|was|年代的|incorrectly,烧毁|destroyed|destroy|destroy|destroying,1
fp_04,logit,62,0,6,<|im_end|>|was|actually|started|destroyed,destroyed|<|im_end|>|started|was|burned,1
